87 3 5 30 4 200 4 30 10 10 
88 0 2 2 2 2 2 2 20 20 
89 0 0 0 0 4 0 4 10 30 
90 0 4 4 0 4 0 4 10 30 
91 1 0 4 0 0 0 4 10 30 
92 1 0 4 4 4 0 4 10 30 
93 2 0 4 0 4 0 0 10 30 
94 2 0 4 0 4 4 4 10 30 
95 3 0 4 0 4 0 4 30 30 
96 0 4.5 4.5 2 2 2 2 20 20 
97 0 5 5 0 4 0 4 10 30 
98 1 4 5 0 0 0 4 10 30 
99 1 4 5 4 4 0 4 10 30 
100 2 4 5 0 4 0 0 10 30 
101 2 4 5 0 4 4 4 10 30 
102 3 4 5 0 4 0 4 30 30 
103 0 17.5 17.5 2 2 2 2 20 20 
104 0 30 30 0 4 0 4 10 30 
105 1 5 30 0 0 0 4 10 30 
106 1 5 30 4 4 0 4 10 30 
107 2 5 30 0 4 0 0 10 30 
108 2 5 30 0 4 4 4 10 30 
109 3 5 30 0 4 0 4 30 30 
110 0 2 2 102 102 2 2 20 20 
111 0 0 0 4 200 0 4 10 30 
112 0 4 4 4 200 0 4 10 30 
113 1 0 4 200 200 0 4 10 30 
114 2 0 4 4 200 0 0 10 30 
115 2 0 4 4 200 4 4 10 30 
116 3 0 4 4 200 0 4 30 30 
117 0 4.5 4.5 102 102 2 2 20 20 
118 0 5 5 4 200 0 4 10 30 
119 1 4 5 200 200 0 4 10 30 
120 2 4 5 4 200 0 0 10 30 
121 2 4 5 4 200 4 4 10 30 
122 3 4 5 4 200 0 4 30 30 
123 0 17.5 17.5 102 102 2 2 20 20 
124 0 30 30 4 200 0 4 10 30 
125 1 5 30 200 200 0 4 10 30 
126 2 5 30 4 200 0 0 10 30 
127 2 5 30 4 200 4 4 10 30 
128 3 5 30 4 200 0 4 30 30 
129 0 2 2 2 2 17 17 20 20 
130 0 0 0 0 4 4 30 10 30 
131 0 4 4 0 4 4 30 10 30 
132 1 0 4 0 0 4 30 10 30 
133 1 0 4 4 4 4 30 10 30 
134 2 0 4 0 4 30 30 10 30 
135 3 0 4 0 4 4 30 30 30 
136 0 4.5 4.5 2 2 17 17 20 20 
137 0 5 5 0 4 4 30 10 30 
138 1 4 5 0 0 4 30 10 30 
139 1 4 5 4 4 4 30 10 30 
140 2 4 5 0 4 30 30 10 30 
141 3 4 5 0 4 4 30 30 30 
142 0 17.5 17.5 2 2 17 17 20 20 
143 0 30 30 0 4 4 30 10 30 
144 1 5 30 0 0 4 30 10 30 
145 1 5 30 4 4 4 30 10 30 
146 2 5 30 0 4 30 30 10 30 
147 3 5 30 0 4 4 30 30 30 
148 0 2 2 102 102 17 17 20 20 
149 0 0 0 4 200 4 30 10 30 
150 0 4 4 4 200 4 30 10 30 
151 1 0 4 200 200 4 30 10 30 
152 2 0 4 4 200 30 30 10 30 
153 3 0 4 4 200 4 30 30 30 
154 0 4.5 4.5 102 102 17 17 20 20 
155 0 5 5 4 200 4 30 10 30 
156 1 4 5 200 200 4 30 10 30 
157 2 4 5 4 200 30 30 10 30 
158 3 4 5 4 200 4 30 30 30 
159 0 17.5 17.5 102 102 17 17 20 20 
160 0 30 30 4 200 4 30 10 30 
161 1 5 30 200 200 4 30 10 30 
162 2 5 30 4 200 30 30 10 30 
163 3 5 30 4 200 4 30 30 30 
